"","t","Year","Month","date","sales","y_BCT_Guerr","y_BCT_loglik","y_BCT_log","y_BCT_sqrt","stl_residuals"
"140",140,2020,8,2020-08-31,27892,479.664666973483,11133.8622258646,10.2360951883409,167.008981794393,0.0397254023964637
"141",141,2020,9,2020-09-30,28362,484.061363444756,11302.5898038435,10.2528055000213,168.410213466998,0.0365477920550853
"142",142,2020,10,2020-10-31,29666,496.088931357382,11769.2715907603,10.2977568878836,172.238207143479,-0.121139370501177
"143",143,2020,11,2020-11-30,29373,493.407764595909,11664.593229114,10.2878311640222,171.38553031105,0.0502406131227107
"144",144,2020,12,2020-12-31,30364,502.427921498679,12018.2276290819,10.3210129751367,174.252690079666,-0.0923408764526864
"145",145,2021,1,2021-01-31,21771,418.9542887713,8908.28012809645,9.98833408794625,147.549991528295,0.130249000727003
"146",146,2021,2,2021-02-28,23839,440.246306637645,9666.44543201972,10.0790781739908,154.39883419249,0.00848021888791922
"147",147,2021,3,2021-03-31,32541,521.783622571539,12791.090513908,10.3902561117083,180.391241472528,0.146170256069028
"148",148,2021,4,2021-04-30,29939,498.576236045958,11866.71165114,10.3069172572822,173.028899320316,0.0247091014569493
"149",149,2021,5,2021-05-31,37676,565.22581895555,14594.2821085608,10.5367785659427,194.103065405985,-0.0206616252801203
"150",150,2021,6,2021-06-30,31905,516.191697455461,12565.8527049649,10.3705180163024,178.61970775925,0.0341563750822855
"151",151,2021,7,2021-07-31,32959,525.431706668683,12938.8840620695,10.4030196437573,181.546137386616,0.0178119008164744
"152",152,2021,8,2021-08-31,27033,471.540751347671,10824.7464966786,10.2048136209031,164.417152389889,-0.019625700145884
"153",153,2021,9,2021-09-30,19106,390.102811417559,7920.44105680938,9.85775770082995,138.224455144522,-0.145979508805555
"154",154,2021,10,2021-10-31,17691,374.036375564282,7390.42383981554,9.78081131466861,133.007518584477,-0.0965405981441124
"155",155,2021,11,2021-11-30,19261,391.829243307187,7978.25585892081,9.86583760508422,138.784004842057,-0.0116196776013009
